name,pantheon,url,title,alternatives
Giraitis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GIRAITIS/,Forest God specializing in groves,nan
Giuoitos,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GYVATE/,A Lithuanian Snake Goddess,"Gyvate, Gyvatė"
Indraja,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/INDRAJA/,Goddess of Jupiter,nan
Jumis,Baltic mythology,https://www.godchecker.com/latvian-mythology/JUMIS/,Rustic fertility deity,nan
Junda,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/JUNDA/,War Goddess,nan
Juras Mate,Baltic mythology,https://www.godchecker.com/latvian-mythology/JURAS-MATE/,Ocean Mom,"Jūrasmāte, Jurasmate, Jūras Māte"
Jurata,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/JURATE/,Mermaid Goddess of the Baltic Sea,"Jūratė, Jurate"
Kalvaitis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/TELIAVELIS/,Sun God of Death and Fire,"Televelis, Teliavelis, Kalvelis"
Kārta,Baltic mythology,https://www.godchecker.com/latvian-mythology/KARTA/,Assistant Goddess of Fate,Karta
Kaukai,Baltic mythology,https://www.godchecker.com/latvian-mythology/KAUKAI/,Assistant Elder Tree God,nan
Kaupolė,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KUPOLE/,Frolicking Spring Spirit,"Kupolė, Kupole"
Kaupolis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KAUPOLIS/,A Goddess of Vegetation,nan
Kawas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KOVAS/,God of March and War,Kovas
Kelio Dievas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KIELIU-DIEVAS/,Crossroads God of Safe Journeys,"Kelių Dievas, Keliu Dievas, Keliukis, Kielu Dziewos"
Kremata,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KREMATA/,The God of Bacon,nan
Krumine,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KRUMINE/,Blossom Goddess,Krūminė
Laima,Baltic mythology,https://www.godchecker.com/latvian-mythology/LAIMA/,Goddess of Fate and Pregnancy,"Laimas-Māte, Laimas-Mate, Laima-Dalia"
Laimė,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/LAIME/,Good Luck Goddess,Laime
Laimos Juosta,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/VAIVA/,Goddess of the Rainbow,Vaiva
Lasdona,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/LAZDONA/,Goddess of the Hazel Tree,Lazdona
Lauka Māte,Baltic mythology,https://www.godchecker.com/latvian-mythology/LAUKA-MATE/,Goddess of Fields,"Laukumate, Lauka Mate, Laukamat, Laukamate"
Laukosargas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/LAUKSARGIS/,God of Fields and Meadows,Lauksargis
Laumės,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/LAUMES/,Beautiful Spirits of Compassion,Laumes
Linksmine,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/LINKSMINE/,Lithuanian Goddess of Good Cheer,nan
Lopemat,Baltic mythology,https://www.godchecker.com/latvian-mythology/LOPU-MATE/,A minor Goddess of Cattle,"Lopu Mate, Lopu Māte, Lopumate, Lopemate"
Māra,Baltic mythology,https://www.godchecker.com/latvian-mythology/MARA/,Goddess of Milk Production,"Piena-Mate, Mārasmate, Mārša, Māras Māte, Mara"
Medeina,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/MEDEINA/,Hunting Goddess of the Forest,"Zvoruna, Žvorūnė, Medeine, Medeinė, Meidene, Meidein, Žvorūna"
Medziojima,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/MEDZIOJNA/,A Lithuanian Hunting Goddess,Medziojna
Mehness,Baltic mythology,https://www.godchecker.com/latvian-mythology/MENESS/,The God of the Latvian Moon,"Meness, Mēness"
Menulis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/MENUO/,The God of the Lithuanian Moon,"Mėnuo, Menuo"
Mēslu Māte,Baltic mythology,https://www.godchecker.com/latvian-mythology/MESLU-MATE/,The Dung Mother,"Meslu Mate, Meslumate, Mēslumāte"
Meža Virs,Baltic mythology,https://www.godchecker.com/latvian-mythology/MEZA-VIRS/,God of the Forest who deals with wolves,"Mezavirs, Meza Virs"
Milda,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/MILDA/,Lithuanian Love Goddess with Lady Godiva tendencies,nan
Moschel,Baltic mythology,https://www.godchecker.com/latvian-mythology/MOSCHEL/,God of Dairy Products,nan
Patollo,Baltic mythology,https://www.godchecker.com/baltic-mythology/PATOLLO/,Very angry Prussian God of Death,"Patollus, Pikuolis, Patollu, Pikollos, Peckols, Picollos"
Perkonis,Baltic mythology,https://www.godchecker.com/baltic-mythology/PERKUNS/,The top Prussian Thunder God,"Perkunos, Perkuns, Perkunis, Perkūns"
Perkons,Baltic mythology,https://www.godchecker.com/latvian-mythology/PERKONS/,The top Latvian Thunder God,Pērkons
Pilnytis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/PILVYTIS/,God of Wealth,"Pilvytis, Piluvytis, Pilvytė, Pilunitus, Pilunytis"
Praamžimas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/PRAAMZIUS/,The Lithuanian Ruler of Time,"Praamzius, Pramžimas, Pramšans, Praamžius"
Pušaitis,Baltic mythology,https://www.godchecker.com/latvian-mythology/PUSKAITIS/,God of the Elder Tree,"Puskaitis, Puškaitis"
Ragana,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RAGANA/,A spirit of Witchery and Seeing,nan
Ragutenapati,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RAGUTIENE/,Goddess of Beer,"Ragutiene, Ragutiene Pati"
Ragutis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RAGUTIS/,A Lithuanian Holy Brewery with three deities in charge,"Ruguczis, Raugupatis, Rugutis, Rūgutis"
Rasa,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RASA/,Goddess of the Morning Dew,nan
Raugo Žemėpatis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RAUGO-ZEMEPATIS/,God of Fermentation,"Rauguzemapatis, Raugupatis"
Rugiu Boba,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/RUGIU-BOBA/,The Old One of the Rye,nan
Samanelis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/SILINYTIS/,God of Moss,"Šilinytis, Silinytis, Siliniets"
Saulė,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/SAULE/,"It's Sunshine Sunshine all the way, with 'Sow-lay'",Saule
Sietas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/SIETYNAS/,Lithuanian Pleiades,"Sietynas, Sietynėlis, Sietimas"
Uguns Māte,Baltic mythology,https://www.godchecker.com/latvian-mythology/UGUNS-MATE/,The Fire Mother,"Ugunsmāte, Uguns Mate, Ugunsmate"
Vaizgantas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/VAIZGANTAS/,God of Hemp and Flax,"Waizganthos, Vaižgantas"
Veja Mate,Baltic mythology,https://www.godchecker.com/latvian-mythology/VEJA-MATE/,Mother of the Four Winds,"Vejamate, Vējamāte, Vēja Māte"
Veliuona,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/VELIUONA/,Goddess of the 'Shades of the Dead',"Wellona, Vielona"
Velnias,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/VELNIAS/,Devilish Trickster God of Evil,nan
Velns,Baltic mythology,https://www.godchecker.com/latvian-mythology/VELNS/,Devilishly dumb Latvian Devil,nan
Žaltys,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ZALTYS/,Sacred Snake Spirits,Zaltys
Žemepatis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ZEMEPATIS/,Guardian of Farmers,"Zemininkas, Zemepatis"
Žemyna,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ZEMYNA/,Earth Goddess,Zemyna
Žvaigždės,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ZVAIGZDES/,Starry-eyed Gods,Zvaigzdes
Zemes Mate,Baltic mythology,https://www.godchecker.com/latvian-mythology/ZEMES-MATE/,The Earth Mother,"Zemesmate, Zemesmāte, Zemes Māte"
A'akuluujjusi,Native American mythology,https://www.godchecker.com/inuit-mythology/A-AKULUUJJUSI/,Inuit Mother Goddess of Animal Creation,Aakuluujjusi
Abaangui,Native American mythology,https://www.godchecker.com/native-american-mythology/ABAANGUI/,Nose God of the Moon,nan
Achi,Native American mythology,https://www.godchecker.com/native-american-mythology/AHAYUTA-ACHI/,Twin War Gods of Military Victory,"Ahayuta Achi, Ahayuta"
Achiyalabopa,Native American mythology,https://www.godchecker.com/native-american-mythology/ACHIYALABOPA/,Mighty Bird Monster God,Achiyalatopa
Acna,Native American mythology,https://www.godchecker.com/inuit-mythology/AKNA/,Inuit Goddess of Childbirth,Akna
Adekagagwaa,Native American mythology,https://www.godchecker.com/iroquois-mythology/ADEKAGAGWAA/,The Spirit of Summer,nan
Adlivun,Native American mythology,https://www.godchecker.com/inuit-mythology/ADLIVUN/,"The frozen Inuit Underworld, ruled over by Sedna, Goddess of the Sea",nan
Agreskoui,Native American mythology,https://www.godchecker.com/native-american-mythology/ARESKOUI/,The Great Spirit and God of Worst Case Scenarios,"Agriskoue, Areskoui, Airsekui, Airesekui"
Ahe'a,Native American mythology,https://www.godchecker.com/hopi-mythology/AHE-A/,The Mother of all Kachinas,"Hemokyätsik, Ahea"
Ahmeto Lela Okya,Native American mythology,https://www.godchecker.com/native-american-mythology/AHMETO-LELA-OKYA/,Rainbow Dancing Girl,Ahmetolela Okya
Aholi,Native American mythology,https://www.godchecker.com/hopi-mythology/AHOLI/,Cheery God of the Spring,nan
Ahsonnutli,Native American mythology,https://www.godchecker.com/navajo-mythology/AHSONNUTLI/,Navajo God of Wind and Sky Support,nan
Aisoyimstan,Native American mythology,https://www.godchecker.com/native-american-mythology/AISOYIMSTAN/,God of Snow and Ice,nan
Akba-Atatdia,Native American mythology,https://www.godchecker.com/native-american-mythology/COYOTE/,The wily sneaky cheaty pesky Trickster God of the Wild West,"Old-Man-Coyote, Coyote, Jamul (Achomawi)"
Alignak,Native American mythology,https://www.godchecker.com/inuit-mythology/ALIGNAK/,Inuit Moon God of Weather and Motion,nan
Alk'umta'm,Native American mythology,https://www.godchecker.com/native-american-mythology/ALKUNTAM/,Sun God,"Alk'unta'um, Alkuntam"
Allowat Sakima,Native American mythology,https://www.godchecker.com/native-american-mythology/ALLOWAT-SAKIMA/,The Great Spirit,Alowatsakima
Amala,Native American mythology,https://www.godchecker.com/native-american-mythology/AMALA/,World champion God of Heavy Lifting,Tarhuhyiawahku
Amitolane,Native American mythology,https://www.godchecker.com/native-american-mythology/AMITOLANE/,Spirit of the Rainbow,nan
Amotken,Native American mythology,https://www.godchecker.com/native-american-mythology/AMOTKEN/,Fatherly Creator God,nan
Anaye,Native American mythology,https://www.godchecker.com/navajo-mythology/ANAYE/,This is a monster collection,nan
Angak Chin Mana,Native American mythology,https://www.godchecker.com/hopi-mythology/ANGAK-CHIN-MANA/,The Long-haired Girl of the Kachinas,"Angak'-Chin-Mana, Angak'chin' Mana"
Angakkuq,Native American mythology,https://www.godchecker.com/inuit-mythology/ANGAKOK/,A Shaman who acts as a go-between.,"Angakok, Angokoq, Angalkuq, Angekkok"
Anguta,Native American mythology,https://www.godchecker.com/inuit-mythology/ANGUTA/,Eskimo Godfather of the Dead,nan
Aningan,Native American mythology,https://www.godchecker.com/inuit-mythology/ANINGAN/,Eskimo God of the Moon,Igaluk
Apikunni,Native American mythology,https://www.godchecker.com/native-american-mythology/APIKUNNI/,War God of Tobacco,nan
Apisirahts,Native American mythology,https://www.godchecker.com/native-american-mythology/APISIRAHTS/,This is an Evening Star type God,nan
Apotamkin,Native American mythology,https://www.godchecker.com/native-american-mythology/APOTAMKIN/,A hairy vampire,Apotampkin
Apoyan Tachi,Native American mythology,https://www.godchecker.com/native-american-mythology/APOYAN-TACHI/,Sky Father God,nan
Aqas Xena Xenas,Native American mythology,https://www.godchecker.com/native-american-mythology/AQAS-XENA-XENAS/,This is a story of Upward Mobility,Aqas-Xena-Xena
Arnaknagsak,Native American mythology,https://www.godchecker.com/inuit-mythology/ARNAKUAGSAK/,Frozen Greenland Goddess,"Arnarquagsag, Arnaquagssaq, Arnarquáshaaq, Arnarkusuagsak, Arnakuagsak, Arnakua’gsak"
Asagaya-Gigaei,Native American mythology,https://www.godchecker.com/cherokee-mythology/ASGAYA-GIGAGEI/,Cherokee Red Thunder God of Lightning,Asgaya Gigagei
Ataensic,Native American mythology,https://www.godchecker.com/native-american-mythology/ATAENTSIC/,Iroquois Sky Goddess and mother of the Wind Breath Twins,"Sky Woman, Ataentsic, Atahensic"
Atius Tirawa,Native American mythology,https://www.godchecker.com/native-american-mythology/ATIUS-TIRAWA/,Starry Creator God,nan
Atse Hashke,Native American mythology,https://www.godchecker.com/navajo-mythology/MA-II/,He is the extra-tricksy Navajo version of Trickster God Coyote,"First Scolder, Coyote, Átsé Hashké, Roamer, First Angry, Ma'ii"
Awanawilonais,Native American mythology,https://www.godchecker.com/native-american-mythology/AWONAWILONA/,Sun God and scummy Creator of Everything,Awonawilona
Awitelin Tsita,Native American mythology,https://www.godchecker.com/native-american-mythology/AWITELIN-TSTA/,Extremely pregnant Zuni Earth Mother Goddess,Awitelin Tsta
Badger,Native American mythology,https://www.godchecker.com/native-american-mythology/BADGER/,Does a lot of badgering,nan
Bakbakwakanooksiwac,Native American mythology,https://www.godchecker.com/native-american-mythology/BAXBAKUALANUXSIWAE/,The Man-eating Creator God at the End Of The Universe,"Baxbakualanuxsiwae, Bakbakwalanooksiwae, Bakw'bakwalanukshay, Baxbaxwalanuksiwe, Baxbakwalanuswae, Baxbakwalanuxsiwae, Baxbakualanuchsiwae"
Bakwas,Native American mythology,https://www.godchecker.com/native-american-mythology/BOKWUS/,Forest Spirit who may spirit you away,"Bokwus, Bukwis"
Beaver,Native American mythology,https://www.godchecker.com/native-american-mythology/BEAVER/,Beaver God of Beavering Away,Capa
Begocidi,Native American mythology,https://www.godchecker.com/navajo-mythology/BEGOCIDI/,Dirty old boob-grabbing Trickster God,nan
Bemee-Geedzin-Pobi-Zeed,Native American mythology,https://www.godchecker.com/native-american-mythology/ODZIOZO/,"Legless God of Bulldozing, Earth-moving and Creative Geography","Odzihózo, Odziozo, Odzihodo, Wo-Ja-Ho-Sen, Ojihozo, Odzeez, Odzihozo"
Big Head,Native American mythology,https://www.godchecker.com/iroquois-mythology/FLYING-HEAD/,Beware the low-flying ravenous head,"Flying Head, Konearaunehneh, Great Head, Kanontsistóntie's, Kunenhrayenhnenh"
Big Rabbit,Native American mythology,https://www.godchecker.com/native-american-mythology/MANABOZHO/,The Great Rabbit Trickster God,"Wenabozho, Manabozho, Nanabozho, Great Rabbit, Manabush, Manibozho, Manabozo, Great Hare, Nanabush, Wisaaka, Nanabozo, Winabozho"
Bikeh Hozho,Native American mythology,https://www.godchecker.com/navajo-mythology/BIKEH-HOZHO/,The Navajo God of Speech,Happiness Girl
Binaye Ahani,Native American mythology,https://www.godchecker.com/navajo-mythology/BINAYE-AHANI/,Evil Limbless Monster Twins,nan
Black God,Native American mythology,https://www.godchecker.com/navajo-mythology/BLACK-GOD/,Navajo Space God of night sky nothingness,nan
Blue Jay,Native American mythology,https://www.godchecker.com/cherokee-mythology/BLUE-JAY/,Noisy screeching Trickster God,Bluejay
Chacomat,Native American mythology,https://www.godchecker.com/native-american-mythology/CHACOMAT/,Joint Project Manager of Earth Construction,nan
Chacopa,Native American mythology,https://www.godchecker.com/native-american-mythology/CHACOPA/,Joint Leader of the Earth Construction Team,nan
Chakekenapok,Native American mythology,https://www.godchecker.com/native-american-mythology/CHAKEKENAPOK/,Unfortunate deconstructed deity and God of Grapevines,nan
Chehooit,Native American mythology,https://www.godchecker.com/native-american-mythology/CHEHOOIT/,Earth Mother Goddess and personification of the world,nan
Cherwit Make,Native American mythology,https://www.godchecker.com/native-american-mythology/EARTHMAKER/,The Great Magician of the Pima Tribe,"Great Magician, Earth Maker, Earthmaker, Tcuwut Makai, Djivut Maka, Earth Doctor, Human Maker"
Chibiabos,Native American mythology,https://www.godchecker.com/native-american-mythology/CHIBIABOS/,Wolf Lord of the Dead at Spirit Realm HQ,Chipiapoos
Chinigchinich,Native American mythology,https://www.godchecker.com/native-american-mythology/CHINIGCHINICH/,Population God,nan
Chulyen,Native American mythology,https://www.godchecker.com/native-american-mythology/RAVEN/,Infamous Creative Trickster God of North America,"Kwekwaxa'we, Raven, Guguyni, Yhel, Hemaskas, Nankil'slas, Kwekwaxawe"
Copper Woman,Native American mythology,https://www.godchecker.com/native-american-mythology/COPPER-WOMAN/,Underwater Copper Goddess,Xaalajaat
Corn Maiden,Native American mythology,https://www.godchecker.com/native-american-mythology/CORN-WOMAN/,Educational spirit of corn agriculture,"Corn Woman, Corn Mother"
Corn-Maidens,Native American mythology,https://www.godchecker.com/native-american-mythology/TEN-CORN-MAIDENS/,A corny joke goes here,Ten Corn Maidens
Crow,Native American mythology,https://www.godchecker.com/iroquois-mythology/GA-GAAH/,The Wise Old Crow who's always screeching out his name,Ga Gaah
Dajoji,Native American mythology,https://www.godchecker.com/iroquois-mythology/DAJOJI/,The Roaring Panther Spirit of the West Wind,nan
Dawn,Native American mythology,https://www.godchecker.com/iroquois-mythology/DAWN/,Goddess of being the Sky,nan
Dâyuni'sï,Native American mythology,https://www.godchecker.com/cherokee-mythology/DAYUNSI/,Beavery God who went fishing for the world,Dayunsi
Dew-Eagle,Native American mythology,https://www.godchecker.com/native-american-mythology/OSHADAGEA/,This is the Giant Dew Eagle Spirit,Oshadagea
Dohkwibuhch,Native American mythology,https://www.godchecker.com/native-american-mythology/DOHKWIBUHCH/,Rather embarrassingly incompetent Creator God ,nan
Doquebuth,Native American mythology,https://www.godchecker.com/native-american-mythology/DOQUEBUTH/,A sort of low-budget Noah. He only had a canoe,nan
Dzalarhons,Native American mythology,https://www.godchecker.com/native-american-mythology/DZELARHONS/,Frog Goddess of human trafficking,Dzelarhons
Dzoavits,Native American mythology,https://www.godchecker.com/native-american-mythology/DZOAVITS/,Earthquake Demon with a fondness for raw eggs,nan
Eeyeekalduk,Native American mythology,https://www.godchecker.com/inuit-mythology/EEYEEKALDUK/,Eskimo Healing Godlet,nan
Ehlaumel,Native American mythology,https://www.godchecker.com/native-american-mythology/EHLAUMEL/,Thunder God,nan
Eithinoha,Native American mythology,https://www.godchecker.com/iroquois-mythology/EITHINOHA/,Mother Earth Goddess of the Iroquois,nan
Enumclaw,Native American mythology,https://www.godchecker.com/cherokee-mythology/ENUMCLAW/,Trouble-making Lightning God,nan
Eototo,Native American mythology,https://www.godchecker.com/hopi-mythology/EOTOTO/,Chief Executive of the Kachinas and top Weather Spirit,nan
Esaugetuh Emissee,Native American mythology,https://www.godchecker.com/native-american-mythology/ESAUGETUH-EMISSEE/,Yet another mud-modeling Creator God,nan
Estanatlehi,Native American mythology,https://www.godchecker.com/navajo-mythology/ESTANATLEHI/,Chronologically complicated Goddess of Passing Time,"Estasanatlehi, Estsanatlehi"
Ew'ah,Native American mythology,https://www.godchecker.com/cherokee-mythology/EW-AH/,Nightmarishly ugly demon of insanity,"Spirit Of Madness, Ewah"
Ga-Oh,Native American mythology,https://www.godchecker.com/iroquois-mythology/GAOH/,The Giant in charge of the Four Winds,Gaoh
Ga'an,Native American mythology,https://www.godchecker.com/native-american-mythology/GAHE/,Apache Mountain Gods into hard rock drumming,"Gahe, Gaan"
Gendenwitha,Native American mythology,https://www.godchecker.com/iroquois-mythology/GENDENWITHA/,Iroquois Goddess of the Morning Star,Gendewitha
Girl Who Married The Moon,Native American mythology,https://www.godchecker.com/native-american-mythology/GIRL-WHO-MARRIED-THE-MOON/,Wife of the Moon,Woman Who Married The Moon
Gitche Manitou,Native American mythology,https://www.godchecker.com/native-american-mythology/GITCHE-MANITOU/,Algonquin Great Smoking Spirit of Creation,"Gitchi-Manitou, Gitchie-Manitou, Kitchi-Manitou, Kitshi-Manitou, Gitsche-Manitou, Kitche-Manitou, Gitche-Manito"
Glooscap,Native American mythology,https://www.godchecker.com/native-american-mythology/GLOOSKAP/,Hero God of Ecology and Nature,"Gluscabi, Gluskap, Glooskap, Gluscabe, Gluskabe, Gluskab"
Godasiyo,Native American mythology,https://www.godchecker.com/iroquois-mythology/GODASIYO/,She was the original chief of the Iroquois people,nan
Grandmother-Corn,Native American mythology,https://www.godchecker.com/cherokee-mythology/SELU/,Granny God who produced corn from a surprising place,Selu
Great Chief Above,Native American mythology,https://www.godchecker.com/native-american-mythology/WHEE-ME-ME-OW-AH/,Mudslinging Creator God,"Whe-Me-Me-Ow-Ah, Whee-Me-Me-Ow-Ah, Whememeowah"
Gudratrigakwitl,Native American mythology,https://www.godchecker.com/native-american-mythology/GUDRATRIGAKWITL/,Creator God from California,nan
Gunnodayak,Native American mythology,https://www.godchecker.com/iroquois-mythology/GUNNODOYAK/,A warrior taken into Heaven to help the Thunder God,"Gunnodoyak, Gunnodoyah"
Gwaxwgwakwalanuksiwe,Native American mythology,https://www.godchecker.com/native-american-mythology/KWAKWAKALANOOKSIWAE/,Scary Raven God of the Hamatsa Secret Shaman Society,"Kwakwakalanooksiwae, Kwa-Kwakalanooksiwae"
Gyhldeptis,Native American mythology,https://www.godchecker.com/native-american-mythology/GYHLDEPTIS/,The Goddess of the Forest,nan
Hahgwehdaetgah,Native American mythology,https://www.godchecker.com/iroquois-mythology/HAHGWEHDAETGAH/,Evil half of the Wind-Breath Twins,nan
Hahgwehdiyu,Native American mythology,https://www.godchecker.com/iroquois-mythology/HAHGWEHDIYU/,Iroquois Creator God who is keen on recycling,nan
Haokah,Native American mythology,https://www.godchecker.com/native-american-mythology/HAOKAH/,Emotionally confused Sioux God of Thunder,nan
Hastseoltoi,Native American mythology,https://www.godchecker.com/navajo-mythology/HASTSEOLTOI/,Navajo Goddess of Hunting,nan
Hastshehogan,Native American mythology,https://www.godchecker.com/navajo-mythology/HASTSHEHOGAN/,Navajo House God,nan
Hayicanako,Native American mythology,https://www.godchecker.com/native-american-mythology/HAYICANAKO/,Elderly Goddess who has the world on a stick,nan
Hé-No,Native American mythology,https://www.godchecker.com/iroquois-mythology/HINU/,Such a nice reliable Thunder God,"Hinon, Hinun, Hino, Hinu, Heno"
Hisagita-Imisi,Native American mythology,https://www.godchecker.com/native-american-mythology/HISAKITAIMISI/,Supreme God affiliated with the sun,"Hisagitaimisi, Ibofanga, Hisakitaimisi"
Hototo,Native American mythology,https://www.godchecker.com/hopi-mythology/HOTOTO/,Minister of Kachina departure ceremonies,nan
Huruing Wuhti,Native American mythology,https://www.godchecker.com/hopi-mythology/HURUING-WUHTI/,Two elderly Creator Goddesses who play ball with the sun,nan
Ictinike,Native American mythology,https://www.godchecker.com/native-american-mythology/ICTINIKE/,"Spider Trickster God of War, Treachery and Mischief","Iktomi, Ikto, Unktome, Inktomi"
Ignirtoq,Native American mythology,https://www.godchecker.com/inuit-mythology/IGNIRTOQ/,God of Light and Truth,nan
Ioi,Native American mythology,https://www.godchecker.com/native-american-mythology/IOI/,Match-making sister of Blue Jay,nan
Ioskeha,Native American mythology,https://www.godchecker.com/native-american-mythology/IOSKEHA/,Creator Deity,nan
Irdlirvirisissong,Native American mythology,https://www.godchecker.com/inuit-mythology/IRDLIRVIRISISSONG/,Easily bored Sky Demon,nan
Isitoq,Native American mythology,https://www.godchecker.com/inuit-mythology/ISITOQ/,God of Surveillance and Stern Warnings,Issitoq
Iya,Native American mythology,https://www.godchecker.com/native-american-mythology/IYA/,Evil God of rampaging pestilence,nan
